Regional.Association,Site.Name,Data.File,Data.File.Location,Drainage.Area.sq.mi,XS.Area.sq.ft,Bankfull.Width.ft,Bankfull.Depth.ft,Longitudinal.Slope.pct
IA,Clear Creek,Sallys_MasterDataFile_PLM.xlsx,fromPete.Nate.0122,6.874,34.598,24.245,1.349,0.004
IA,Holland Creek,Sallys_MasterDataFile_PLM.xlsx,fromPete.Nate.0122,18.553,39.133,25.481,1.763,0.000174
IA,Onion Creek,Sallys_MasterDataFile_PLM.xlsx,fromPete.Nate.0122,4.338,32.775,19.808,1.581,0.000736
IA,Onion Creek 2,Sallys_MasterDataFile_PLM.xlsx,fromPete.Nate.0122,10.834,62.112,36.34,1.481,0.001564
IA,Paint Creek ,Sallys_MasterDataFile_PLM.xlsx,fromPete.Nate.0122,73.848,166.088,84.185,2.163,
IA,South Fork Iowa,Sallys_MasterDataFile_PLM.xlsx,fromPete.Nate.0122,6.634,132.83,46.85,2.683,
IA,Springbrook,Sallys_MasterDataFile_PLM.xlsx,fromPete.Nate.0122,8.066,35.553,26.738,1.404,0.00034
IA,Wolf Creek,Sallys_MasterDataFile_PLM.xlsx,fromPete.Nate.0122,60.438,122.429,39.025,2.875,0.000153
IA,Fourmile ,fourmile_creek.xlsx,from.Pete.0129,62,193.866,68.57,3.94,0.0033
IA,Keigley Branch,DRAFT Statewide Table.xlsx,fromPete.Nate.0122,32.4,73,29,2.51,0.0024
IA,Bluff,bluff_creek.xlsx,from.Pete.0129,23.5,59.171,37.91,3.06,0.00269
IA,Indian Woods Park,DRAFT Statewide Table.xlsx,fromPete.Nate.0122,0.08,17.73,10,1.77,0.0196
IA,Turkey Creek Nature Area,DRAFT Statewide Table.xlsx,fromPete.Nate.0122,7.1,87.2,55.1,1.58,0.002
IA,Maquoketa River,DRAFT Statewide Table.xlsx,fromPete.Nate.0122,168,473.61,115.3,4.11,0.0006
IA,Yellow River (Warners Ford),DRAFT Statewide Table.xlsx,fromPete.Nate.0122,210,377,77.9,4.84,0.0024
IA,Upstream of Albrights (Boone River),DRAFT Statewide Table.xlsx,fromPete.Nate.0122,852,1159.7,177.9,6.52,0.0009
